,phoR9Full5x5,phoE2x5OESCrFull5x5,pho2x2OE3x3Full5x5,phoS4Full5x5,phoE5x5OESCrFull5x5,phoEmaxOESCrFull5x5,phoE1x3OESCrFull5x5,phoEmaxOE3x3Full5x5,phoSieieOSipipFull5x5,phoEtaWOPhiWFull5x5,phoSigmaIEtaIPhi,phoSigmaIEtaIEta,phoEtaWidth,phoSigmaIPhiIPhi,phoPhiWidth,phoE2ndOE3x3Full5x5,phoE2ndOEmaxFull5x5,phoE2ndOESCrFull5x5
phoR9Full5x5,1.0000000000,0.9195702672,0.5403643250,0.9417697787,0.7498094440,0.7047147155,0.7585178018,0.4832656682,0.1177475974,0.3669302166,0.0009310729,-0.5580930710,-0.6559659243,-0.7239871025,-0.7041078806,-0.1216570362,-0.3160751164,0.2247054279
phoE2x5OESCrFull5x5,0.9195702672,1.0000000000,0.6223495007,0.9158936143,0.7660515904,0.6366958618,0.7023125291,0.4352565110,-0.0981126800,0.2887800038,0.0020616753,-0.6550331712,-0.6955367923,-0.5778174400,-0.6583518386,-0.0521512963,-0.2535252273,0.2601689398
pho2x2OE3x3Full5x5,0.5403643250,0.6223495007,1.0000000000,0.7862013578,0.2544862330,0.5284155607,0.5124979615,0.4574644268,0.0308233984,0.2646295130,0.0033641523,-0.5739076138,-0.4570442736,-0.6333118677,-0.4689443707,0.1076022238,-0.1739779711,0.2820431888
phoS4Full5x5,0.9417697787,0.9158936143,0.7862013578,1.0000000000,0.6436029673,0.7264473438,0.7573292255,0.5343027115,0.1034160778,0.3802091777,0.0018378887,-0.6366388798,-0.6605185866,-0.7867841125,-0.7017723322,-0.0474243909,-0.2981106341,0.2745787799
phoE5x5OESCrFull5x5,0.7498094440,0.7660515904,0.2544862330,0.6436029673,1.0000000000,0.4047341645,0.4676750600,0.2150111496,0.1779349297,0.2788853347,-0.0020998335,-0.1326901019,-0.4470786154,-0.3469006717,-0.5260286927,-0.0574863479,-0.1403264105,0.1938365996
phoEmaxOESCrFull5x5,0.7047147155,0.6366958618,0.5284155607,0.7264473438,0.4047341645,1.0000000000,0.8777716756,0.9550018907,0.1047803164,0.2579606473,0.0073687593,-0.4858457744,-0.6010191441,-0.6213648319,-0.5472814441,-0.5742895007,-0.8002672791,-0.3255771995
phoE1x3OESCrFull5x5,0.7585178018,0.7023125291,0.5124979615,0.7573292255,0.4676750600,0.8777716756,1.0000000000,0.7890727520,0.0179300811,0.1741128713,0.0065407343,-0.5432343483,-0.6827107668,-0.5869298577,-0.5463427305,-0.3300183415,-0.5913625360,-0.0665969104
phoEmaxOE3x3Full5x5,0.4832656682,0.4352565110,0.4574644268,0.5343027115,0.2150111496,0.9550018907,0.7890727520,1.0000000000,0.0689082071,0.1591662467,0.0089969598,-0.3819537461,-0.4781831503,-0.4689492881,-0.3876608908,-0.6558183432,-0.8796738386,-0.4793361425
phoSieieOSipipFull5x5,0.1177475974,-0.0981126800,0.0308233984,0.1034160778,0.1779349297,0.1047803164,0.0179300811,0.0689082071,1.0000000000,0.3626502156,-0.0038489811,0.5438596606,0.1773179770,-0.4902742803,-0.1719165295,-0.0632548481,-0.0551144108,-0.0232227854
phoEtaWOPhiWFull5x5,0.3669302166,0.2887800038,0.2646295130,0.3802091777,0.2788853347,0.2579606473,0.1741128713,0.1591662467,0.3626502156,1.0000000000,-0.0211588982,-0.0678983480,0.0628584027,-0.4617747366,-0.7175542116,-0.0232718159,-0.0834582150,0.1044878960
phoSigmaIEtaIPhi,0.0009310729,0.0020616753,0.0033641523,0.0018378887,-0.0020998335,0.0073687593,0.0065407343,0.0089969598,-0.0038489811,-0.0211588982,1.0000000000,-0.0068975617,-0.0155368941,-0.0021454056,0.0082771843,-0.0028914278,-0.0058922842,-0.0026227951
phoSigmaIEtaIEta,-0.5580930710,-0.6550331712,-0.5739076138,-0.6366388798,-0.1326901019,-0.4858457744,-0.5432343483,-0.3819537461,0.5438596606,-0.0678983480,-0.0068975617,1.0000000000,0.5990749598,0.4426167607,0.3930039406,-0.0045314427,0.1921645701,-0.1966019124
phoEtaWidth,-0.6559659243,-0.6955367923,-0.4570442736,-0.6605185866,-0.4470786154,-0.6010191441,-0.6827107668,-0.4781831503,0.1773179770,0.0628584027,-0.0155368941,0.5990749598,1.0000000000,0.4255172014,0.4881995916,0.1180381402,0.3032365739,-0.1080359071
phoSigmaIPhiIPhi,-0.7239871025,-0.5778174400,-0.6333118677,-0.7867841125,-0.3469006717,-0.6213648319,-0.5869298577,-0.4689492881,-0.4902742803,-0.4617747366,-0.0021454056,0.4426167607,0.4255172014,1.0000000000,0.6053078175,0.0620086938,0.2583930492,-0.1876487732
phoPhiWidth,-0.7041078806,-0.6583518386,-0.4689443707,-0.7017723322,-0.5260286927,-0.5472814441,-0.5463427305,-0.3876608908,-0.1719165295,-0.7175542116,0.0082771843,0.3930039406,0.4881995916,0.6053078175,1.0000000000,0.0810302570,0.2351952046,-0.1641112417
phoE2ndOE3x3Full5x5,-0.1216570362,-0.0521512963,0.1076022238,-0.0474243909,-0.0574863479,-0.5742895007,-0.3300183415,-0.6558183432,-0.0632548481,-0.0232718159,-0.0028914278,-0.0045314427,0.1180381402,0.0620086938,0.0810302570,1.0000000000,0.8840535283,0.9333508611
phoE2ndOEmaxFull5x5,-0.3160751164,-0.2535252273,-0.1739779711,-0.2981106341,-0.1403264105,-0.8002672791,-0.5913625360,-0.8796738386,-0.0551144108,-0.0834582150,-0.0058922842,0.1921645701,0.3032365739,0.2583930492,0.2351952046,0.8840535283,1.0000000000,0.7465715408
phoE2ndOESCrFull5x5,0.2247054279,0.2601689398,0.2820431888,0.2745787799,0.1938365996,-0.3255771995,-0.0665969104,-0.4793361425,-0.0232227854,0.1044878960,-0.0026227951,-0.1966019124,-0.1080359071,-0.1876487732,-0.1641112417,0.9333508611,0.7465715408,1.0000000000
