,phoEmaxOE3x3Full5x5,phoEmaxOESCrFull5x5,phoE1x3OESCrFull5x5,phoE2x5OESCrFull5x5,phoS4Full5x5,pho2x2OE3x3Full5x5,phoEtaWOPhiWFull5x5,phoSigmaIEtaIPhi,phoSigmaIEtaIEta,phoR9Full5x5,phoSieieOSipipFull5x5,phoE5x5OESCrFull5x5,phoE2ndOE3x3Full5x5,phoE2ndOESCrFull5x5,phoE2ndOEmaxFull5x5,phoEtaWidth,phoSigmaIPhiIPhi,phoPhiWidth
phoEmaxOE3x3Full5x5,1.0000000000,0.9984833598,0.7350748777,-0.1961737126,-0.1423457414,-0.4863359332,-0.0519041717,0.0659349114,0.2354976833,0.3966889977,-0.0209396463,0.1786157787,-0.9055716395,-0.9020006061,-0.9442957640,-0.5807848573,0.1022043303,-0.1907596141
phoEmaxOESCrFull5x5,0.9984833598,1.0000000000,0.7354753017,-0.1653594673,-0.1016763076,-0.4700206816,-0.0336715542,0.0690387562,0.2402976751,0.4450709820,0.0093399622,0.2197834700,-0.9012082815,-0.8965063095,-0.9389450550,-0.5882473588,0.0627801344,-0.2177905887
phoE1x3OESCrFull5x5,0.7350748777,0.7354753017,1.0000000000,-0.3642255366,-0.0588249154,-0.3198430538,-0.3308407068,0.0614581630,0.2665968239,0.3196309805,0.1814134866,0.1486324370,-0.5851505995,-0.5817722678,-0.6452906728,-0.8103017807,-0.0687210262,-0.0745368376
phoE2x5OESCrFull5x5,-0.1961737126,-0.1653594673,-0.3642255366,1.0000000000,0.6720939875,0.5366650820,0.4026032388,-0.0228596032,-0.2549893260,0.4435932040,0.0667575821,0.5171971321,0.1382099688,0.1508683264,0.1433753222,0.2639714479,-0.2840403020,-0.3306256235
phoS4Full5x5,-0.1423457414,-0.1016763076,-0.0588249154,0.6720939875,1.0000000000,0.8145864606,0.2971746922,-0.0050278208,0.0187293962,0.6440894008,0.5998107195,0.5635358691,0.1542245746,0.1718261540,0.1385465413,0.0248397663,-0.7835677266,-0.3857149184
pho2x2OE3x3Full5x5,-0.4863359332,-0.4700206816,-0.3198430538,0.5366650820,0.8145864606,1.0000000000,0.1685335487,-0.0667497367,-0.1246585324,0.0814622492,0.3936558068,0.1443894356,0.4204688966,0.4256705344,0.4172397852,0.3021922708,-0.5449019074,-0.0969772637
phoEtaWOPhiWFull5x5,-0.0519041717,-0.0336715542,-0.3308407068,0.4026032388,0.2971746922,0.1685335487,1.0000000000,-0.0686761662,0.0184481926,0.2888051569,0.1378621012,0.2864753604,0.0381359570,0.0458826311,0.0465929471,0.4377782941,-0.2177714705,-0.7825486660
phoSigmaIEtaIPhi,0.0659349114,0.0690387562,0.0614581630,-0.0228596032,-0.0050278208,-0.0667497367,-0.0686761662,1.0000000000,0.0006688624,0.0778082684,0.0071640401,0.0340496860,-0.0260147881,-0.0245256666,-0.0394776389,-0.1427524835,-0.0161111839,0.0145771885
phoSigmaIEtaIEta,0.2354976833,0.2402976751,0.2665968239,-0.2549893260,0.0187293962,-0.1246585324,0.0184481926,0.0006688624,1.0000000000,0.2001334727,0.5983030200,0.2536436319,-0.2104863524,-0.2060115039,-0.2463372350,-0.1192414612,-0.1862903833,-0.1108742580
phoR9Full5x5,0.3966889977,0.4450709820,0.3196309805,0.4435932040,0.6440894008,0.0814622492,0.2888051569,0.0778082684,0.2001334727,1.0000000000,0.5112451911,0.7794280052,-0.2901070416,-0.2667498291,-0.3117915988,-0.3524767458,-0.6292077899,-0.5358488560
phoSieieOSipipFull5x5,-0.0209396463,0.0093399622,0.1814134866,0.0667575821,0.5998107195,0.3936558068,0.1378621012,0.0071640401,0.5983030200,0.5112451911,1.0000000000,0.3992087245,0.0564859174,0.0699700490,0.0421097502,-0.1159910858,-0.8675953150,-0.2721212208
phoE5x5OESCrFull5x5,0.1786157787,0.2197834700,0.1486324370,0.5171971321,0.5635358691,0.1443894356,0.2864753604,0.0340496860,0.2536436319,0.7794280052,0.3992087245,1.0000000000,-0.1216481030,-0.1029097736,-0.1330282837,-0.2205900997,-0.4262338579,-0.4990049303
phoE2ndOE3x3Full5x5,-0.9055716395,-0.9012082815,-0.5851505995,0.1382099688,0.1542245746,0.4204688966,0.0381359570,-0.0260147881,-0.2104863524,-0.2901070416,0.0564859174,-0.1216481030,1.0000000000,0.9996312857,0.9675624371,0.4334414899,-0.1378962547,0.1444254667
phoE2ndOESCrFull5x5,-0.9020006061,-0.8965063095,-0.5817722678,0.1508683264,0.1718261540,0.4256705344,0.0458826311,-0.0245256666,-0.2060115039,-0.2667498291,0.0699700490,-0.1029097736,0.9996312857,1.0000000000,0.9656825662,0.4290647507,-0.1545527875,0.1321817636
phoE2ndOEmaxFull5x5,-0.9442957640,-0.9389450550,-0.6452906728,0.1433753222,0.1385465413,0.4172397852,0.0465929471,-0.0394776389,-0.2463372350,-0.3117915988,0.0421097502,-0.1330282837,0.9675624371,0.9656825662,1.0000000000,0.4665876627,-0.1385988295,0.1498135924
phoEtaWidth,-0.5807848573,-0.5882473588,-0.8103017807,0.2639714479,0.0248397663,0.3021922708,0.4377782941,-0.1427524835,-0.1192414612,-0.3524767458,-0.1159910858,-0.2205900997,0.4334414899,0.4290647507,0.4665876627,1.0000000000,0.0575269945,0.0679862052
phoSigmaIPhiIPhi,0.1022043303,0.0627801344,-0.0687210262,-0.2840403020,-0.7835677266,-0.5449019074,-0.2177714705,-0.0161111839,-0.1862903833,-0.6292077899,-0.8675953150,-0.4262338579,-0.1378962547,-0.1545527875,-0.1385988295,0.0575269945,1.0000000000,0.3367520571
phoPhiWidth,-0.1907596141,-0.2177905887,-0.0745368376,-0.3306256235,-0.3857149184,-0.0969772637,-0.7825486660,0.0145771885,-0.1108742580,-0.5358488560,-0.2721212208,-0.4990049303,0.1444254667,0.1321817636,0.1498135924,0.0679862052,0.3367520571,1.0000000000
