{'bestIteration': 139, 'colsample_bytree': 0.8, 'trainScore': 0.9999985792133363, 'eval_metric': 'auc', 'bestNtreeLimit': 140, 'verbosity': 1, 'bestValScore': 0.997765, 'nthread': -1, 'min_child_weight': 5.300000000000001, 'max_depth': 21, 'theScore': 4.992049541806678e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 74, 'colsample_bytree': 0.8, 'trainScore': 0.9999969179467457, 'eval_metric': 'auc', 'bestNtreeLimit': 75, 'verbosity': 1, 'bestValScore': 0.997492, 'nthread': -1, 'min_child_weight': 0.30000000000000004, 'max_depth': 11, 'theScore': 6.282334210438045e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 74, 'colsample_bytree': 0.8, 'trainScore': 0.999998412238299, 'eval_metric': 'auc', 'bestNtreeLimit': 75, 'verbosity': 1, 'bestValScore': 0.99745, 'nthread': -1, 'min_child_weight': 2.3000000000000003, 'max_depth': 24, 'theScore': 6.498451207662703e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 98, 'colsample_bytree': 0.8, 'trainScore': 0.9999984630714949, 'eval_metric': 'auc', 'bestNtreeLimit': 99, 'verbosity': 1, 'bestValScore': 0.997823, 'nthread': -1, 'min_child_weight': 7.1000000000000005, 'max_depth': 21, 'theScore': 4.735983106644264e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 124, 'colsample_bytree': 0.8, 'trainScore': 0.9999638248519421, 'eval_metric': 'auc', 'bestNtreeLimit': 125, 'verbosity': 1, 'bestValScore': 0.99769, 'nthread': -1, 'min_child_weight': 0.4, 'max_depth': 7, 'theScore': 5.252535407986475e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 74, 'colsample_bytree': 0.8, 'trainScore': 0.99998489692865, 'eval_metric': 'auc', 'bestNtreeLimit': 75, 'verbosity': 1, 'bestValScore': 0.997482, 'nthread': -1, 'min_child_weight': 6.5, 'max_depth': 10, 'theScore': 6.302294466340807e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 59, 'colsample_bytree': 0.8, 'trainScore': 0.9999657711704797, 'eval_metric': 'auc', 'bestNtreeLimit': 60, 'verbosity': 1, 'bestValScore': 0.997468, 'nthread': -1, 'min_child_weight': 6.2, 'max_depth': 9, 'theScore': 6.324356603654466e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 29, 'colsample_bytree': 0.8, 'trainScore': 0.9999957929025409, 'eval_metric': 'auc', 'bestNtreeLimit': 30, 'verbosity': 1, 'bestValScore': 0.996999, 'nthread': -1, 'min_child_weight': 1.0, 'max_depth': 22, 'theScore': 8.993375500525505e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 13, 'colsample_bytree': 0.8, 'trainScore': 0.9995562427280364, 'eval_metric': 'auc', 'bestNtreeLimit': 14, 'verbosity': 1, 'bestValScore': 0.996737, 'nthread': -1, 'min_child_weight': 2.6, 'max_depth': 13, 'theScore': 9.199189021583026e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 71, 'colsample_bytree': 0.8, 'trainScore': 0.9999987789946897, 'eval_metric': 'auc', 'bestNtreeLimit': 72, 'verbosity': 1, 'bestValScore': 0.997529, 'nthread': -1, 'min_child_weight': 0.1, 'max_depth': 14, 'theScore': 6.102823895878245e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
{'bestIteration': 67, 'colsample_bytree': 0.8, 'trainScore': 0.9999981135259705, 'eval_metric': 'auc', 'bestNtreeLimit': 68, 'verbosity': 1, 'bestValScore': 0.997376, 'nthread': -1, 'min_child_weight': 4.7, 'max_depth': 21, 'theScore': 6.8804258921462645e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0, 'booster': 'gbtree'}
