{'bestIteration': 107, 'colsample_bytree': 1.0, 'trainScore': 0.9999985037670134, 'eval_metric': 'auc', 'bestNtreeLimit': 108, 'verbosity': 1, 'bestValScore': 0.997633, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.599147416520709e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 70, 'colsample_bytree': 0.5, 'trainScore': 0.9999992348595771, 'eval_metric': 'auc', 'bestNtreeLimit': 71, 'verbosity': 1, 'bestValScore': 0.997292, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 7.331191999734999e-06, 'subsample': 1.0, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 78, 'colsample_bytree': 0.8, 'trainScore': 0.9999980119688102, 'eval_metric': 'auc', 'bestNtreeLimit': 79, 'verbosity': 1, 'bestValScore': 0.997517, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.1603527185558376e-06, 'subsample': 0.6000000000000001, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 91, 'colsample_bytree': 0.7000000000000001, 'trainScore': 0.9999991017990693, 'eval_metric': 'auc', 'bestNtreeLimit': 92, 'verbosity': 1, 'bestValScore': 0.997591, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.8011172339578125e-06, 'subsample': 0.9, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 114, 'colsample_bytree': 0.9, 'trainScore': 0.999998797355362, 'eval_metric': 'auc', 'bestNtreeLimit': 115, 'verbosity': 1, 'bestValScore': 0.997751, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.055296252208921e-06, 'subsample': 0.6000000000000001, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 81, 'colsample_bytree': 0.5, 'trainScore': 0.9999992349631242, 'eval_metric': 'auc', 'bestNtreeLimit': 82, 'verbosity': 1, 'bestValScore': 0.997531, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.094072123953797e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 107, 'colsample_bytree': 1.0, 'trainScore': 0.9999985037670134, 'eval_metric': 'auc', 'bestNtreeLimit': 108, 'verbosity': 1, 'bestValScore': 0.997633, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.599147416520709e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 45, 'colsample_bytree': 0.6000000000000001, 'trainScore': 0.9999945369608118, 'eval_metric': 'auc', 'bestNtreeLimit': 46, 'verbosity': 1, 'bestValScore': 0.997221, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 7.707659214095728e-06, 'subsample': 0.6000000000000001, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 179, 'colsample_bytree': 0.8, 'trainScore': 0.9999991256718135, 'eval_metric': 'auc', 'bestNtreeLimit': 180, 'verbosity': 1, 'bestValScore': 0.997899, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 4.412364036480208e-06, 'subsample': 1.0, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 96, 'colsample_bytree': 0.8, 'trainScore': 0.9999984686733445, 'eval_metric': 'auc', 'bestNtreeLimit': 97, 'verbosity': 1, 'bestValScore': 0.99785, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 4.6192076476906555e-06, 'subsample': 0.5, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 75, 'colsample_bytree': 0.9, 'trainScore': 0.9999984856037477, 'eval_metric': 'auc', 'bestNtreeLimit': 76, 'verbosity': 1, 'bestValScore': 0.997622, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.651282765712015e-06, 'subsample': 0.9, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
