************************************************************************************************************************************************

2020-08-16 23:19:40
Starting photon ID training BDT

inFilePath	=	/hdfs/cms/user/wadud/anTGC/BDTdata/mergedSamplesShuffled.root
saveDir		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p02MaxD20/
inTreeName	=	fullEB_Tree
chunksize	=	2000000
logFile		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p02MaxD20//trainWithTune_2020_08_16_23_19_40.log

BDT input features (17) :
['phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']



Training with params:
{'eval_metric': 'auc', 'sampling_method': 'uniform', 'alpha': 0.01, 'tree_method': 'exact', 'booster': 'gbtree', 'colsample_bytree': 0.5, 'verbosity': 1, 'nthread': -1, 'min_child_weight': 1.8, 'predictor': 'cpu_predictor', 'subsample': 0.5, 'eta': 0.02, 'objective': 'binary:logistic', 'max_depth': 20, 'gamma': 0.05}




Total data:
Total Events	=	2000000 (B/S= 1672280 / 327720 = 5.10)
BackgroundSumW/SignalSumW 	=	118920104.000000 / 962626.812500	=	123.537079
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	118959856.000000 / 962626.812500	=	123.578377

Training data:
Total Events	=	819550 (B/S= 684955 / 134595 = 5.09)
BackgroundSumW/SignalSumW 	=	48728768.000000 / 396644.968750	=	122.852356
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	48750264.000000 / 396644.968750	=	122.906548

Validation data:
Total Events	=	579872 (B/S= 485148 / 94724 = 5.12)
BackgroundSumW/SignalSumW 	=	34831516.000000 / 277818.906250	=	125.374893
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34816180.000000 / 277818.906250	=	125.319695

Test data:
Total Events	=	600578 (B/S= 502177 / 98401 = 5.10)
BackgroundSumW/SignalSumW 	=	35359820.000000 / 288163.031250	=	122.707687
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35393416.000000 / 288163.031250	=	122.824280


[0]	train-auc:0.996022	test-auc:0.993524	validation-auc:0.993247
Multiple eval metrics have been passed: 'validation-auc' will be used for early stopping.

Will train until validation-auc hasn't improved in 10 rounds.
[1]	train-auc:0.997625	test-auc:0.993804	validation-auc:0.993941
[2]	train-auc:0.998319	test-auc:0.994699	validation-auc:0.994566
[3]	train-auc:0.998737	test-auc:0.994828	validation-auc:0.995216
[4]	train-auc:0.99887	test-auc:0.995282	validation-auc:0.995602
[5]	train-auc:0.99892	test-auc:0.995517	validation-auc:0.99566
[6]	train-auc:0.999051	test-auc:0.995881	validation-auc:0.995788
[7]	train-auc:0.9991	test-auc:0.995914	validation-auc:0.995779
[8]	train-auc:0.999152	test-auc:0.99599	validation-auc:0.995774
[9]	train-auc:0.999153	test-auc:0.996269	validation-auc:0.995988
[10]	train-auc:0.999312	test-auc:0.996428	validation-auc:0.996258
[11]	train-auc:0.999332	test-auc:0.996524	validation-auc:0.996249
[12]	train-auc:0.999351	test-auc:0.996567	validation-auc:0.996344
[13]	train-auc:0.999394	test-auc:0.99653	validation-auc:0.996443
[14]	train-auc:0.999411	test-auc:0.996598	validation-auc:0.996411
[15]	train-auc:0.999471	test-auc:0.996708	validation-auc:0.996552
[16]	train-auc:0.999476	test-auc:0.996725	validation-auc:0.996601
[17]	train-auc:0.999475	test-auc:0.996743	validation-auc:0.996606
[18]	train-auc:0.999493	test-auc:0.996789	validation-auc:0.996567
[19]	train-auc:0.999502	test-auc:0.996799	validation-auc:0.996558
[20]	train-auc:0.999515	test-auc:0.996887	validation-auc:0.99659
[21]	train-auc:0.999531	test-auc:0.996977	validation-auc:0.996631
[22]	train-auc:0.99953	test-auc:0.996992	validation-auc:0.996642
[23]	train-auc:0.999526	test-auc:0.996885	validation-auc:0.99662
[24]	train-auc:0.999541	test-auc:0.996942	validation-auc:0.996699
[25]	train-auc:0.999554	test-auc:0.996994	validation-auc:0.996701
[26]	train-auc:0.999556	test-auc:0.996984	validation-auc:0.996673
[27]	train-auc:0.999561	test-auc:0.997002	validation-auc:0.996737
[28]	train-auc:0.999585	test-auc:0.997058	validation-auc:0.99678
[29]	train-auc:0.999588	test-auc:0.997029	validation-auc:0.996818
[30]	train-auc:0.999598	test-auc:0.997048	validation-auc:0.996844
[31]	train-auc:0.999604	test-auc:0.997052	validation-auc:0.996858
[32]	train-auc:0.999619	test-auc:0.996971	validation-auc:0.996826
[33]	train-auc:0.999636	test-auc:0.997	validation-auc:0.996879
[34]	train-auc:0.999638	test-auc:0.997007	validation-auc:0.996902
[35]	train-auc:0.999635	test-auc:0.996987	validation-auc:0.996877
[36]	train-auc:0.999641	test-auc:0.996985	validation-auc:0.996885
[37]	train-auc:0.999635	test-auc:0.997033	validation-auc:0.996898
[38]	train-auc:0.999636	test-auc:0.997128	validation-auc:0.996966
[39]	train-auc:0.999645	test-auc:0.997181	validation-auc:0.996984
[40]	train-auc:0.999656	test-auc:0.997198	validation-auc:0.997011
[41]	train-auc:0.999656	test-auc:0.997189	validation-auc:0.997013
[42]	train-auc:0.999658	test-auc:0.997191	validation-auc:0.997001
[43]	train-auc:0.999663	test-auc:0.997196	validation-auc:0.997002
[44]	train-auc:0.999674	test-auc:0.997234	validation-auc:0.997033
[45]	train-auc:0.999661	test-auc:0.997234	validation-auc:0.997058
[46]	train-auc:0.999667	test-auc:0.997225	validation-auc:0.997049
[47]	train-auc:0.999677	test-auc:0.997231	validation-auc:0.997043
[48]	train-auc:0.999681	test-auc:0.997235	validation-auc:0.997059
[49]	train-auc:0.999686	test-auc:0.99724	validation-auc:0.997053
[50]	train-auc:0.999697	test-auc:0.997234	validation-auc:0.997052
[51]	train-auc:0.9997	test-auc:0.997221	validation-auc:0.997049
[52]	train-auc:0.999715	test-auc:0.997271	validation-auc:0.997096
[53]	train-auc:0.999719	test-auc:0.997266	validation-auc:0.997099
[54]	train-auc:0.999718	test-auc:0.997251	validation-auc:0.997086
[55]	train-auc:0.99972	test-auc:0.997249	validation-auc:0.997086
[56]	train-auc:0.999728	test-auc:0.997245	validation-auc:0.997106
[57]	train-auc:0.999736	test-auc:0.997216	validation-auc:0.997108
[58]	train-auc:0.999737	test-auc:0.997234	validation-auc:0.997108
[59]	train-auc:0.999745	test-auc:0.997242	validation-auc:0.997132
[60]	train-auc:0.999748	test-auc:0.997259	validation-auc:0.997151
[61]	train-auc:0.999749	test-auc:0.997253	validation-auc:0.997148
[62]	train-auc:0.999758	test-auc:0.997274	validation-auc:0.997165
[63]	train-auc:0.999762	test-auc:0.997275	validation-auc:0.997168
[64]	train-auc:0.999764	test-auc:0.997261	validation-auc:0.997179
[65]	train-auc:0.999764	test-auc:0.997263	validation-auc:0.997185
[66]	train-auc:0.999769	test-auc:0.997285	validation-auc:0.997209
[67]	train-auc:0.999779	test-auc:0.997327	validation-auc:0.997247
[68]	train-auc:0.999786	test-auc:0.997347	validation-auc:0.99727
[69]	train-auc:0.999788	test-auc:0.997353	validation-auc:0.997287
[70]	train-auc:0.999793	test-auc:0.997352	validation-auc:0.9973
[71]	train-auc:0.999799	test-auc:0.997371	validation-auc:0.997314
[72]	train-auc:0.999806	test-auc:0.997379	validation-auc:0.997324
[73]	train-auc:0.999809	test-auc:0.997397	validation-auc:0.997335
[74]	train-auc:0.999814	test-auc:0.9974	validation-auc:0.997342
[75]	train-auc:0.999815	test-auc:0.997394	validation-auc:0.997339
[76]	train-auc:0.999817	test-auc:0.997387	validation-auc:0.997345
[77]	train-auc:0.999817	test-auc:0.997387	validation-auc:0.997343
[78]	train-auc:0.999822	test-auc:0.997404	validation-auc:0.997364
[79]	train-auc:0.999824	test-auc:0.9974	validation-auc:0.997352
[80]	train-auc:0.999826	test-auc:0.997381	validation-auc:0.997352
[81]	train-auc:0.999827	test-auc:0.997382	validation-auc:0.997359
[82]	train-auc:0.999829	test-auc:0.99739	validation-auc:0.997356
[83]	train-auc:0.99983	test-auc:0.997388	validation-auc:0.997358
[84]	train-auc:0.999831	test-auc:0.997391	validation-auc:0.997356
[85]	train-auc:0.999834	test-auc:0.997402	validation-auc:0.997367
[86]	train-auc:0.999903	test-auc:0.997421	validation-auc:0.997387
[87]	train-auc:0.999904	test-auc:0.997417	validation-auc:0.997387
[88]	train-auc:0.999906	test-auc:0.997434	validation-auc:0.997409
[89]	train-auc:0.999908	test-auc:0.997438	validation-auc:0.997413
[90]	train-auc:0.999909	test-auc:0.997443	validation-auc:0.99742
[91]	train-auc:0.999912	test-auc:0.997466	validation-auc:0.99743
[92]	train-auc:0.999914	test-auc:0.997466	validation-auc:0.997423
[93]	train-auc:0.999916	test-auc:0.99747	validation-auc:0.997416
[94]	train-auc:0.999918	test-auc:0.997505	validation-auc:0.997417
[95]	train-auc:0.99992	test-auc:0.997509	validation-auc:0.997427
[96]	train-auc:0.999921	test-auc:0.997511	validation-auc:0.99743
[97]	train-auc:0.999923	test-auc:0.997511	validation-auc:0.997434
[98]	train-auc:0.999923	test-auc:0.997507	validation-auc:0.997428
[99]	train-auc:0.999924	test-auc:0.997509	validation-auc:0.997428
[100]	train-auc:0.999924	test-auc:0.997526	validation-auc:0.99742
[101]	train-auc:0.999928	test-auc:0.997521	validation-auc:0.99742
[102]	train-auc:0.99993	test-auc:0.997521	validation-auc:0.997422
[103]	train-auc:0.999932	test-auc:0.997541	validation-auc:0.997438
[104]	train-auc:0.999933	test-auc:0.997539	validation-auc:0.997441
[105]	train-auc:0.999934	test-auc:0.997531	validation-auc:0.997437
[106]	train-auc:0.999935	test-auc:0.997535	validation-auc:0.99744
[107]	train-auc:0.999936	test-auc:0.997534	validation-auc:0.997445
