************************************************************************************************************************************************

2020-08-16 23:15:47
Starting photon ID training BDT

inFilePath	=	/hdfs/cms/user/wadud/anTGC/BDTdata/mergedSamplesShuffled.root
saveDir		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1/
inTreeName	=	fullEB_Tree
chunksize	=	2000000
logFile		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1//trainWithTune_2020_08_16_23_15_47.log

BDT input features (17) :
['phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']



Training with params:
{'eval_metric': 'auc', 'sampling_method': 'uniform', 'alpha': 0.01, 'tree_method': 'exact', 'booster': 'gbtree', 'colsample_bytree': 0.5, 'verbosity': 1, 'nthread': -1, 'min_child_weight': 1.8, 'predictor': 'cpu_predictor', 'subsample': 0.5, 'eta': 0.1, 'objective': 'binary:logistic', 'max_depth': 22, 'gamma': 0.05}




Total data:
Total Events	=	2000000 (B/S= 1672280 / 327720 = 5.10)
BackgroundSumW/SignalSumW 	=	118920104.000000 / 962626.812500	=	123.537079
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	118959856.000000 / 962626.812500	=	123.578377

Training data:
Total Events	=	819550 (B/S= 684955 / 134595 = 5.09)
BackgroundSumW/SignalSumW 	=	48728768.000000 / 396644.968750	=	122.852356
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	48750264.000000 / 396644.968750	=	122.906548

Validation data:
Total Events	=	579872 (B/S= 485148 / 94724 = 5.12)
BackgroundSumW/SignalSumW 	=	34831516.000000 / 277818.906250	=	125.374893
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34816180.000000 / 277818.906250	=	125.319695

Test data:
Total Events	=	600578 (B/S= 502177 / 98401 = 5.10)
BackgroundSumW/SignalSumW 	=	35359820.000000 / 288163.031250	=	122.707687
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35393416.000000 / 288163.031250	=	122.824280


[0]	train-auc:0.996117	test-auc:0.993527	validation-auc:0.993337
Multiple eval metrics have been passed: 'validation-auc' will be used for early stopping.

Will train until validation-auc hasn't improved in 10 rounds.
[1]	train-auc:0.996766	test-auc:0.990778	validation-auc:0.991299
[2]	train-auc:0.997669	test-auc:0.990651	validation-auc:0.990915
[3]	train-auc:0.998478	test-auc:0.991428	validation-auc:0.991394
[4]	train-auc:0.998747	test-auc:0.991735	validation-auc:0.991998
[5]	train-auc:0.998972	test-auc:0.99209	validation-auc:0.991963
[6]	train-auc:0.999258	test-auc:0.992879	validation-auc:0.992769
[7]	train-auc:0.999156	test-auc:0.993192	validation-auc:0.993357
[8]	train-auc:0.999395	test-auc:0.993467	validation-auc:0.993756
[9]	train-auc:0.999499	test-auc:0.993794	validation-auc:0.994088
[10]	train-auc:0.999582	test-auc:0.994013	validation-auc:0.994985
[11]	train-auc:0.999604	test-auc:0.994729	validation-auc:0.995037
[12]	train-auc:0.999613	test-auc:0.994945	validation-auc:0.995505
[13]	train-auc:0.999696	test-auc:0.995318	validation-auc:0.995448
[14]	train-auc:0.999729	test-auc:0.995375	validation-auc:0.995408
[15]	train-auc:0.999776	test-auc:0.995969	validation-auc:0.995749
[16]	train-auc:0.999788	test-auc:0.995971	validation-auc:0.995784
[17]	train-auc:0.999789	test-auc:0.996189	validation-auc:0.995867
[18]	train-auc:0.999808	test-auc:0.996248	validation-auc:0.995994
[19]	train-auc:0.99983	test-auc:0.996185	validation-auc:0.996118
[20]	train-auc:0.999843	test-auc:0.996232	validation-auc:0.996116
[21]	train-auc:0.999857	test-auc:0.996514	validation-auc:0.996175
[22]	train-auc:0.999869	test-auc:0.996605	validation-auc:0.996117
[23]	train-auc:0.999881	test-auc:0.996714	validation-auc:0.996494
[24]	train-auc:0.999893	test-auc:0.996755	validation-auc:0.996638
[25]	train-auc:0.9999	test-auc:0.996764	validation-auc:0.996689
[26]	train-auc:0.9999	test-auc:0.996745	validation-auc:0.996671
[27]	train-auc:0.999906	test-auc:0.996856	validation-auc:0.996631
[28]	train-auc:0.999913	test-auc:0.996868	validation-auc:0.996858
[29]	train-auc:0.999916	test-auc:0.996924	validation-auc:0.996955
[30]	train-auc:0.999919	test-auc:0.996947	validation-auc:0.996958
[31]	train-auc:0.99992	test-auc:0.996983	validation-auc:0.996961
[32]	train-auc:0.999923	test-auc:0.99698	validation-auc:0.997043
[33]	train-auc:0.999925	test-auc:0.996967	validation-auc:0.9971
[34]	train-auc:0.999927	test-auc:0.996954	validation-auc:0.997124
[35]	train-auc:0.999928	test-auc:0.997135	validation-auc:0.997153
[36]	train-auc:0.999929	test-auc:0.997148	validation-auc:0.997169
[37]	train-auc:0.99995	test-auc:0.99716	validation-auc:0.997139
[38]	train-auc:0.999951	test-auc:0.997149	validation-auc:0.997225
[39]	train-auc:0.999957	test-auc:0.997209	validation-auc:0.997271
[40]	train-auc:0.99996	test-auc:0.997186	validation-auc:0.997317
[41]	train-auc:0.999962	test-auc:0.997191	validation-auc:0.997306
[42]	train-auc:0.999963	test-auc:0.997195	validation-auc:0.997312
[43]	train-auc:0.999963	test-auc:0.997355	validation-auc:0.997326
[44]	train-auc:0.999965	test-auc:0.997413	validation-auc:0.997368
[45]	train-auc:0.999967	test-auc:0.997433	validation-auc:0.997395
[46]	train-auc:0.999967	test-auc:0.997444	validation-auc:0.997402
[47]	train-auc:0.999988	test-auc:0.99745	validation-auc:0.997421
[48]	train-auc:0.999989	test-auc:0.997493	validation-auc:0.99744
[49]	train-auc:0.99999	test-auc:0.997508	validation-auc:0.997468
[50]	train-auc:0.99999	test-auc:0.997516	validation-auc:0.997471
[51]	train-auc:0.999991	test-auc:0.997537	validation-auc:0.99749
[52]	train-auc:0.999991	test-auc:0.99757	validation-auc:0.997541
[53]	train-auc:0.999992	test-auc:0.997574	validation-auc:0.997549
[54]	train-auc:0.999993	test-auc:0.997561	validation-auc:0.997544
[55]	train-auc:0.999993	test-auc:0.997566	validation-auc:0.997552
[56]	train-auc:0.999994	test-auc:0.997567	validation-auc:0.997552
[57]	train-auc:0.999994	test-auc:0.997578	validation-auc:0.997565
[58]	train-auc:0.999994	test-auc:0.997586	validation-auc:0.997564
[59]	train-auc:0.999995	test-auc:0.997628	validation-auc:0.997589
[60]	train-auc:0.999995	test-auc:0.997643	validation-auc:0.997604
[61]	train-auc:0.999995	test-auc:0.997639	validation-auc:0.997601
[62]	train-auc:0.999995	test-auc:0.997655	validation-auc:0.997632
[63]	train-auc:0.999996	test-auc:0.997655	validation-auc:0.997636
[64]	train-auc:0.999996	test-auc:0.997652	validation-auc:0.997635
[65]	train-auc:0.999996	test-auc:0.997663	validation-auc:0.997642
[66]	train-auc:0.999996	test-auc:0.997694	validation-auc:0.997663
[67]	train-auc:0.999997	test-auc:0.997721	validation-auc:0.997684
[68]	train-auc:0.999997	test-auc:0.997736	validation-auc:0.997713
[69]	train-auc:0.999997	test-auc:0.99774	validation-auc:0.997724
[70]	train-auc:0.999997	test-auc:0.997746	validation-auc:0.997724
[71]	train-auc:0.999997	test-auc:0.997761	validation-auc:0.99773
[72]	train-auc:0.999997	test-auc:0.997774	validation-auc:0.997742
[73]	train-auc:0.999997	test-auc:0.997792	validation-auc:0.99776
[74]	train-auc:0.999998	test-auc:0.997793	validation-auc:0.997757
[75]	train-auc:0.999998	test-auc:0.997791	validation-auc:0.997755
[76]	train-auc:0.999998	test-auc:0.997791	validation-auc:0.997756
[77]	train-auc:0.999998	test-auc:0.997785	validation-auc:0.997758
[78]	train-auc:0.999998	test-auc:0.997807	validation-auc:0.997765
[79]	train-auc:0.999998	test-auc:0.997805	validation-auc:0.997767
[80]	train-auc:0.999998	test-auc:0.997812	validation-auc:0.997764
[81]	train-auc:0.999998	test-auc:0.997808	validation-auc:0.997777
[82]	train-auc:0.999998	test-auc:0.997807	validation-auc:0.997786
[83]	train-auc:0.999998	test-auc:0.997805	validation-auc:0.997789
[84]	train-auc:0.999998	test-auc:0.99781	validation-auc:0.997786
[85]	train-auc:0.999998	test-auc:0.997826	validation-auc:0.997804
[86]	train-auc:0.999998	test-auc:0.997838	validation-auc:0.99782
[87]	train-auc:0.999998	test-auc:0.997833	validation-auc:0.997818
[88]	train-auc:0.999998	test-auc:0.997844	validation-auc:0.997835
[89]	train-auc:0.999998	test-auc:0.997847	validation-auc:0.997828
[90]	train-auc:0.999998	test-auc:0.997843	validation-auc:0.997829
[91]	train-auc:0.999998	test-auc:0.99786	validation-auc:0.997841
[92]	train-auc:0.999999	test-auc:0.997858	validation-auc:0.99786
[93]	train-auc:0.999999	test-auc:0.997865	validation-auc:0.997857
[94]	train-auc:0.999999	test-auc:0.997873	validation-auc:0.997872
[95]	train-auc:0.999999	test-auc:0.997878	validation-auc:0.99787
[96]	train-auc:0.999999	test-auc:0.997875	validation-auc:0.997872
[97]	train-auc:0.999999	test-auc:0.997878	validation-auc:0.997875
[98]	train-auc:0.999999	test-auc:0.997882	validation-auc:0.997879
[99]	train-auc:0.999999	test-auc:0.997882	validation-auc:0.997879
[100]	train-auc:0.999999	test-auc:0.99789	validation-auc:0.997882
[101]	train-auc:0.999999	test-auc:0.99789	validation-auc:0.99789
[102]	train-auc:0.999999	test-auc:0.997894	validation-auc:0.997888
[103]	train-auc:0.999999	test-auc:0.9979	validation-auc:0.997895
[104]	train-auc:0.999999	test-auc:0.997897	validation-auc:0.997897
[105]	train-auc:0.999999	test-auc:0.997892	validation-auc:0.997891
[106]	train-auc:0.999999	test-auc:0.997893	validation-auc:0.99789
[107]	train-auc:0.999999	test-auc:0.997889	validation-auc:0.997886
