************************************************************************************************************************************************

2020-08-16 23:39:53
Starting photon ID training BDT

inFilePath	=	/hdfs/cms/user/wadud/anTGC/BDTdata/mergedSamplesShuffled.root
saveDir		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1Alpha0/
inTreeName	=	fullEB_Tree
chunksize	=	2000000
logFile		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1Alpha0//trainWithTune_2020_08_16_23_39_53.log

BDT input features (17) :
['phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']



Training with params:
{'eval_metric': 'auc', 'sampling_method': 'uniform', 'alpha': 0.0, 'tree_method': 'exact', 'booster': 'gbtree', 'colsample_bytree': 0.5, 'verbosity': 1, 'nthread': -1, 'min_child_weight': 1.8, 'predictor': 'cpu_predictor', 'subsample': 0.5, 'eta': 0.1, 'objective': 'binary:logistic', 'max_depth': 22, 'gamma': 0.05}




Total data:
Total Events	=	2000000 (B/S= 1672280 / 327720 = 5.10)
BackgroundSumW/SignalSumW 	=	118920104.000000 / 962626.812500	=	123.537079
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	118959856.000000 / 962626.812500	=	123.578377

Training data:
Total Events	=	819550 (B/S= 684955 / 134595 = 5.09)
BackgroundSumW/SignalSumW 	=	48728768.000000 / 396644.968750	=	122.852356
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	48750264.000000 / 396644.968750	=	122.906548

Validation data:
Total Events	=	579872 (B/S= 485148 / 94724 = 5.12)
BackgroundSumW/SignalSumW 	=	34831516.000000 / 277818.906250	=	125.374893
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34816180.000000 / 277818.906250	=	125.319695

Test data:
Total Events	=	600578 (B/S= 502177 / 98401 = 5.10)
BackgroundSumW/SignalSumW 	=	35359820.000000 / 288163.031250	=	122.707687
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35393416.000000 / 288163.031250	=	122.824280


[0]	train-auc:0.996068	test-auc:0.993431	validation-auc:0.993315
Multiple eval metrics have been passed: 'validation-auc' will be used for early stopping.

Will train until validation-auc hasn't improved in 10 rounds.
[1]	train-auc:0.996764	test-auc:0.99094	validation-auc:0.991221
[2]	train-auc:0.997835	test-auc:0.991032	validation-auc:0.991163
[3]	train-auc:0.998397	test-auc:0.991778	validation-auc:0.991229
[4]	train-auc:0.998586	test-auc:0.991325	validation-auc:0.991542
[5]	train-auc:0.998833	test-auc:0.991676	validation-auc:0.99173
[6]	train-auc:0.999056	test-auc:0.992375	validation-auc:0.992034
[7]	train-auc:0.999134	test-auc:0.993127	validation-auc:0.992891
[8]	train-auc:0.99927	test-auc:0.993928	validation-auc:0.993947
[9]	train-auc:0.999397	test-auc:0.994159	validation-auc:0.993996
[10]	train-auc:0.99952	test-auc:0.994772	validation-auc:0.994851
[11]	train-auc:0.999541	test-auc:0.995416	validation-auc:0.994919
[12]	train-auc:0.999588	test-auc:0.9956	validation-auc:0.995262
[13]	train-auc:0.999693	test-auc:0.995755	validation-auc:0.99542
[14]	train-auc:0.999737	test-auc:0.99594	validation-auc:0.99553
[15]	train-auc:0.99977	test-auc:0.996265	validation-auc:0.995882
[16]	train-auc:0.999779	test-auc:0.996113	validation-auc:0.995995
[17]	train-auc:0.999789	test-auc:0.996275	validation-auc:0.996121
[18]	train-auc:0.999801	test-auc:0.996356	validation-auc:0.996254
[19]	train-auc:0.999814	test-auc:0.996372	validation-auc:0.996342
[20]	train-auc:0.999825	test-auc:0.996366	validation-auc:0.996423
[21]	train-auc:0.999838	test-auc:0.996484	validation-auc:0.996578
[22]	train-auc:0.999845	test-auc:0.996559	validation-auc:0.996705
[23]	train-auc:0.999851	test-auc:0.996636	validation-auc:0.996709
[24]	train-auc:0.999861	test-auc:0.996724	validation-auc:0.996782
[25]	train-auc:0.99987	test-auc:0.996792	validation-auc:0.996798
[26]	train-auc:0.99987	test-auc:0.996853	validation-auc:0.996798
[27]	train-auc:0.999875	test-auc:0.996929	validation-auc:0.996907
[28]	train-auc:0.999893	test-auc:0.997038	validation-auc:0.99698
[29]	train-auc:0.999895	test-auc:0.997017	validation-auc:0.997119
[30]	train-auc:0.999899	test-auc:0.997014	validation-auc:0.997132
[31]	train-auc:0.999904	test-auc:0.997055	validation-auc:0.99716
[32]	train-auc:0.99991	test-auc:0.997134	validation-auc:0.997268
[33]	train-auc:0.999958	test-auc:0.997142	validation-auc:0.997234
[34]	train-auc:0.999962	test-auc:0.997143	validation-auc:0.997317
[35]	train-auc:0.999963	test-auc:0.997136	validation-auc:0.997317
[36]	train-auc:0.999964	test-auc:0.997141	validation-auc:0.997311
[37]	train-auc:0.99997	test-auc:0.997123	validation-auc:0.997316
[38]	train-auc:0.999972	test-auc:0.997112	validation-auc:0.997283
[39]	train-auc:0.999973	test-auc:0.997166	validation-auc:0.997319
[40]	train-auc:0.999978	test-auc:0.997194	validation-auc:0.997344
[41]	train-auc:0.999979	test-auc:0.997248	validation-auc:0.997339
[42]	train-auc:0.999981	test-auc:0.99727	validation-auc:0.997338
[43]	train-auc:0.999981	test-auc:0.997293	validation-auc:0.997345
[44]	train-auc:0.999983	test-auc:0.997332	validation-auc:0.997385
[45]	train-auc:0.999984	test-auc:0.997347	validation-auc:0.997409
[46]	train-auc:0.999986	test-auc:0.99738	validation-auc:0.997403
[47]	train-auc:0.999989	test-auc:0.997365	validation-auc:0.997429
[48]	train-auc:0.99999	test-auc:0.997386	validation-auc:0.997454
[49]	train-auc:0.99999	test-auc:0.997388	validation-auc:0.9975
[50]	train-auc:0.999991	test-auc:0.997395	validation-auc:0.997503
[51]	train-auc:0.999991	test-auc:0.997413	validation-auc:0.997523
[52]	train-auc:0.999992	test-auc:0.997457	validation-auc:0.99757
[53]	train-auc:0.999993	test-auc:0.997459	validation-auc:0.997561
[54]	train-auc:0.999993	test-auc:0.997467	validation-auc:0.997544
[55]	train-auc:0.999993	test-auc:0.997459	validation-auc:0.99755
[56]	train-auc:0.999993	test-auc:0.997468	validation-auc:0.997546
[57]	train-auc:0.999994	test-auc:0.997482	validation-auc:0.997548
[58]	train-auc:0.999994	test-auc:0.997478	validation-auc:0.997559
[59]	train-auc:0.999995	test-auc:0.997505	validation-auc:0.997594
[60]	train-auc:0.999995	test-auc:0.997521	validation-auc:0.997596
[61]	train-auc:0.999995	test-auc:0.997513	validation-auc:0.997597
[62]	train-auc:0.999995	test-auc:0.997537	validation-auc:0.997612
[63]	train-auc:0.999995	test-auc:0.997535	validation-auc:0.997632
[64]	train-auc:0.999996	test-auc:0.997527	validation-auc:0.99763
[65]	train-auc:0.999996	test-auc:0.997543	validation-auc:0.997637
[66]	train-auc:0.999996	test-auc:0.997573	validation-auc:0.997659
[67]	train-auc:0.999996	test-auc:0.9976	validation-auc:0.99767
[68]	train-auc:0.999997	test-auc:0.997622	validation-auc:0.997697
[69]	train-auc:0.999997	test-auc:0.99763	validation-auc:0.997699
[70]	train-auc:0.999997	test-auc:0.997638	validation-auc:0.997707
[71]	train-auc:0.999997	test-auc:0.997653	validation-auc:0.997718
[72]	train-auc:0.999997	test-auc:0.997664	validation-auc:0.997731
[73]	train-auc:0.999997	test-auc:0.997681	validation-auc:0.997747
[74]	train-auc:0.999998	test-auc:0.99768	validation-auc:0.99775
[75]	train-auc:0.999998	test-auc:0.997681	validation-auc:0.997748
[76]	train-auc:0.999998	test-auc:0.997678	validation-auc:0.997747
[77]	train-auc:0.999998	test-auc:0.997671	validation-auc:0.997748
[78]	train-auc:0.999998	test-auc:0.997688	validation-auc:0.99776
[79]	train-auc:0.999998	test-auc:0.99768	validation-auc:0.997762
[80]	train-auc:0.999998	test-auc:0.997689	validation-auc:0.997758
[81]	train-auc:0.999998	test-auc:0.997691	validation-auc:0.997758
[82]	train-auc:0.999998	test-auc:0.997689	validation-auc:0.997756
[83]	train-auc:0.999998	test-auc:0.997697	validation-auc:0.99776
[84]	train-auc:0.999998	test-auc:0.997696	validation-auc:0.997766
[85]	train-auc:0.999998	test-auc:0.997708	validation-auc:0.997776
[86]	train-auc:0.999998	test-auc:0.997718	validation-auc:0.9978
[87]	train-auc:0.999998	test-auc:0.997724	validation-auc:0.9978
[88]	train-auc:0.999998	test-auc:0.99773	validation-auc:0.997808
[89]	train-auc:0.999998	test-auc:0.997734	validation-auc:0.997813
[90]	train-auc:0.999998	test-auc:0.997735	validation-auc:0.997802
[91]	train-auc:0.999998	test-auc:0.99775	validation-auc:0.997807
[92]	train-auc:0.999999	test-auc:0.997748	validation-auc:0.997811
[93]	train-auc:0.999999	test-auc:0.997743	validation-auc:0.997809
[94]	train-auc:0.999999	test-auc:0.997742	validation-auc:0.997815
[95]	train-auc:0.999999	test-auc:0.997741	validation-auc:0.997817
[96]	train-auc:0.999999	test-auc:0.997737	validation-auc:0.997819
[97]	train-auc:0.999999	test-auc:0.997743	validation-auc:0.997822
[98]	train-auc:0.999999	test-auc:0.997742	validation-auc:0.99782
[99]	train-auc:0.999999	test-auc:0.997744	validation-auc:0.997826
[100]	train-auc:0.999999	test-auc:0.997747	validation-auc:0.997839
[101]	train-auc:0.999999	test-auc:0.997752	validation-auc:0.997841
[102]	train-auc:0.999999	test-auc:0.997763	validation-auc:0.997848
[103]	train-auc:0.999999	test-auc:0.997778	validation-auc:0.997857
[104]	train-auc:0.999999	test-auc:0.997776	validation-auc:0.997862
[105]	train-auc:0.999999	test-auc:0.997778	validation-auc:0.997857
[106]	train-auc:0.999999	test-auc:0.997784	validation-auc:0.997856
