Feature,weight,gain,cover,total_gain,total_cover
phoS4Full5x5,3136,115307300.57943134,600155072.0706478,361603694617.0967,1882086306013.5515
phoR9Full5x5,3891,53281587.07111801,462548305.0496361,207318655293.72018,1799775454948.1343
phoSigmaIPhiIPhi,3875,29138288.613884896,352265848.0362318,112910868378.80397,1365030161140.3982
phoE2x5OESCrFull5x5,4818,20900930.032045666,488428337.72277707,100700680894.39601,2353247731148.34
phoPhiWidth,3445,11099904.737298468,247860666.6501031,38239171819.993225,853879996609.6051
phoE5x5OESCrFull5x5,5660,10082528.494187165,400069297.80137557,57067111277.09935,2264392225555.7856
phoSigmaIEtaIEta,4452,7356325.042954461,411637790.9878292,32750359091.23326,1832611445477.8157
phoE1x3OESCrFull5x5,4132,6944551.136776473,291438237.2683468,28694885297.16039,1204222796392.8088
phoEmaxOESCrFull5x5,1931,4168891.3463268685,237692879.06600854,8050129189.757183,458984949476.46246
phoEtaWidth,4475,3947877.0551010044,272232606.7439622,17666749821.576996,1218240915179.231
pho2x2OE3x3Full5x5,3232,3174305.0559521494,171727375.8850988,10259353940.837347,555022878860.6393
phoSieieOSipipFull5x5,3475,2950461.223679233,145999434.8095969,10252852752.285334,507348035963.34924
phoEmaxOE3x3Full5x5,2210,2702108.745045622,165152035.964095,5971660326.550824,364985999480.64996
phoEtaWOPhiWFull5x5,3040,1512112.479460103,124505038.37370601,4596821937.558713,378495316656.0663
phoSigmaIEtaIPhi,3872,1200274.7973714196,168098762.29821524,4647464015.422136,650878407618.6895
phoE2ndOESCrFull5x5,1503,1038354.0495221609,238794936.85590476,1560646136.4318078,358908790094.42487
phoE2ndOEmaxFull5x5,1191,979993.4772319217,106583357.11071615,1167172231.3832188,126940778318.86293
phoE2ndOE3x3Full5x5,1362,874407.1898584198,151592255.61787653,1190942592.5871677,206468652151.54785
