Feature,weight,gain,cover,total_gain,total_cover
phoS4Full5x5,1834,289515635.2135427,1118792813.002862,530971674981.6373,2051866019047.2488
phoR9Full5x5,2635,114785159.6132747,917168949.0406389,302458895580.9788,2416740180722.0835
phoSigmaIPhiIPhi,2339,32284591.408155266,845695236.4245011,75513659303.67517,1978081157996.908
phoE2x5OESCrFull5x5,3402,31146200.923273154,1078582326.170404,105959375540.97527,3669337073631.714
phoE5x5OESCrFull5x5,4145,13641057.749831911,1004108798.7991376,56542184373.05327,4162030971022.4253
phoSigmaIEtaIEta,3097,13574554.791397797,728136020.8760045,42040396188.95898,2255037256652.986
phoE1x3OESCrFull5x5,2478,11994344.114418283,659796100.757612,29721984715.528503,1634974737677.3625
phoPhiWidth,1845,7676043.646764313,630219274.3347594,14162300528.280157,1162754561147.631
phoEtaWidth,2995,7166393.561945536,543287875.4039235,21463348718.026882,1627147186834.751
phoEmaxOESCrFull5x5,1573,4672394.581488568,576170528.3186147,7349676676.681519,906316241045.1809
pho2x2OE3x3Full5x5,1888,3642621.533492287,406134272.90282714,6877269455.2334385,766781507240.5376
phoSieieOSipipFull5x5,1642,3026394.882126258,447343504.94383574,4969340396.451316,734538035117.7783
phoEtaWOPhiWFull5x5,1438,2567001.3787033306,434221229.6839614,3691347982.5753894,624410128285.5365
phoE2ndOESCrFull5x5,1170,2446633.9403429963,937902993.3069865,2862561710.2013054,1097346502169.1742
phoSigmaIEtaIPhi,1804,2281246.4970088233,531179752.69390565,4115368680.603917,958248273859.8058
