{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 17.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.998033, 'bestIteration': 151, 'bestNtreeLimit': 152, 'trainScore': 1.0000118461498693, 'theScore': 3.892390376793051e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 12.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.997991, 'bestIteration': 118, 'bestNtreeLimit': 119, 'trainScore': 1.0001103096343609, 'theScore': 4.2576930554311514e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 20.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.998058, 'bestIteration': 194, 'bestNtreeLimit': 195, 'trainScore': 1.000009889524031, 'theScore': 3.7905694556682497e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 11.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.997974, 'bestIteration': 143, 'bestNtreeLimit': 144, 'trainScore': 1.0000483644630567, 'theScore': 4.2026624021527025e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 9.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.998031, 'bestIteration': 216, 'bestNtreeLimit': 217, 'trainScore': 1.000093247883988, 'theScore': 4.060566083572172e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 10.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.997965, 'bestIteration': 125, 'bestNtreeLimit': 126, 'trainScore': 1.000050970489658, 'theScore': 4.244949946454221e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 14.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.997976, 'bestIteration': 141, 'bestNtreeLimit': 142, 'trainScore': 1.0000161938384788, 'theScore': 4.129352329081276e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 8.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.997989, 'bestIteration': 150, 'bestNtreeLimit': 151, 'trainScore': 1.0000609712412067, 'theScore': 4.166734166066697e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 18.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.998034, 'bestIteration': 159, 'bestNtreeLimit': 160, 'trainScore': 1.0000082595407147, 'theScore': 3.881394257045203e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.998077, 'bestIteration': 187, 'bestNtreeLimit': 188, 'trainScore': 1.0000323866152319, 'theScore': 3.7602084610908994e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 16.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.998009, 'bestIteration': 137, 'bestNtreeLimit': 138, 'trainScore': 1.00000923772107, 'theScore': 3.982473302650406e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 13.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.998051, 'bestIteration': 161, 'bestNtreeLimit': 162, 'trainScore': 1.0000376044007162, 'theScore': 3.871891976995802e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 19.0, 'n_gpus': 1, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'updater': 'grow_gpu_hist', 'verbosity': 1, 'bestValScore': 0.997974, 'bestIteration': 151, 'bestNtreeLimit': 152, 'trainScore': 1.0000053252279975, 'theScore': 4.115464911922731e-06}
