{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.30000000000000004, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.7000000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997724, 'bestIteration': 292, 'bestNtreeLimit': 293, 'trainScore': 1.000268616925235, 'theScore': 0.0022759999999999447}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997854, 'bestIteration': 264, 'bestNtreeLimit': 265, 'trainScore': 1.0002263508513864, 'theScore': 0.0021459999999999813}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.7000000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997859, 'bestIteration': 228, 'bestNtreeLimit': 229, 'trainScore': 1.0002131418338411, 'theScore': 0.0021409999999999485}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997882, 'bestIteration': 232, 'bestNtreeLimit': 233, 'trainScore': 1.0002095480030433, 'theScore': 0.0021179999999999533}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.30000000000000004, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997711, 'bestIteration': 233, 'bestNtreeLimit': 234, 'trainScore': 1.0002505534458304, 'theScore': 0.0022889999999999855}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.5, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997918, 'bestIteration': 185, 'bestNtreeLimit': 186, 'trainScore': 1.0002042070919321, 'theScore': 0.0020820000000000283}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.30000000000000004, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.9, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997748, 'bestIteration': 289, 'bestNtreeLimit': 290, 'trainScore': 1.0002693940916614, 'theScore': 0.0022520000000000318}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.5, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.5, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997962, 'bestIteration': 250, 'bestNtreeLimit': 251, 'trainScore': 1.0002118693202968, 'theScore': 0.0020379999999999843}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.5, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997905, 'bestIteration': 179, 'bestNtreeLimit': 180, 'trainScore': 1.000200322938666, 'theScore': 0.002094999999999958}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.9, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997846, 'bestIteration': 289, 'bestNtreeLimit': 290, 'trainScore': 1.0002274177359844, 'theScore': 0.0021539999999999893}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.5, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.9, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997775, 'bestIteration': 90, 'bestNtreeLimit': 91, 'trainScore': 1.0002207406599912, 'theScore': 0.0022250000000000325}
